page,scientific_name,common_name.hu
21,Glyceria aquatica,fodros harmatkása; boszorkánykása; csiksás; édpázsit; fodorsás; harmatcsenkesz; mannakása; mézpázsit; szik~
,^ fluitans,valódi harmatkása
,Catabrosa aquatica,vízi szűk-perje = vízi szűkperje; sárfű; vízi nápicz = vízi nápic
,Briza media,közepes rezgőfű; nyűlkenyér; nyúlperje; rengő-fű = rengőfű; reszkető-fű = reszketőfű; rezge-fű = rezgefű; pillangófű
,Festuca pratensis,réti csenkesz; szálka perje = szálkaperje; széna-csenkesz = szénacsenkesz
,^ vaginata,magyar csenkesz
,^ pseudovina,berbécs ~
22,Bromus mollis,puha rozsnok; hélyafű = héjafű; hölyefű; vadzab
,^ asper,érdes rozsnok; durvaszőrű rozsnok
,^ sterilis,meddő ~
,^ squarrosus,berzedt ~
,Cynosurus eristatus,tarajos fésűfű; ebfarkfű; ebfarkperje fésű-pázsit = fésűpázsit; taréjos czinczor = taréjos cincor
,Trigynia,hárombibeszálúak
,Hydrocharitaceae,bégatutajfélék
,Elodea canadensis,kanadai átokhinár; vizdög = vízdög
23,Tetrandria,négyporzósak
,Hydrocaryaceae,sulyomfélék
,Trapa natans,csemege súlyom = csemegesulyom; jezsuita dió; szamártövis; vizi dió = vízidió; vizi gesztenye = vízigesztenye
,Ludivigia palustris; Isnardia palustris,vízi micze = vízi mice
,Cornaceae,somfafélék
,Cornus mas,húsos som; durmonka
,^ sanguinea,veres-gyűrű som = veresgyűrű som
,Elaeagnaceae,ezüstfafélék
,Elaeagnus angustifolia,keskenylevelű ezüstfa; ezüstfűz; olajfűz; ezüstfa; olajfa; hamis olajfa; paradicsomfa
,Dipsaceae,mácsonyafélék
,Succisa pratensis,réti ördögharaptafű; csonkaír; csonka gyökerű sikkantyú = csonkagyökerű sikkantyú; elharapott fű; fekély-fű = fekélyfű; kivágott gyökerű fű; ördogmarta-fű = ördögmarta fű
24,Scabiosa columbaria,galambszinű ördögszem = galambszínű ördögszem; sikkantyú; skabióza; varfű
,^ banatica,bánsági ördögszem
,^ ocliroleuca,vajszinű ~ = vajszínű ~
,Knautia arvensis,mezei varfű; apostein fű; fekélyfű; gombos kóró; kelésfű; koszfű; kuzupa; rühfű; rühsikkantyú; sennyedékfű; sennyedék ellen való fű; sennyedék ellen való seprőfű
,^ drymeia,magyar varfű
,Cephalaria transsylvanica,erdélyi fejvirág; bókó; gömbvirág; fejestő
,Dipsacus fullonum,erdei mácsonya; babtüske; bábatüske; bogáncs-vakaró = bogáncsvakaró; csapóecset; gólyakut; héjakút; kalló-bogáncs = kallóbogáncs; paphajgáló tövis; pásztorvesszeje; szomjutövis; takács-mácsanya = takácsmácsanya; takács-vakaró = takácsvakaró; tövises lapu; Venus asszony ferdője
,^ sativus,takács mácsonya = takácsmácsonya
,Globularia willkommii,közönséges gubóvirág; bojtvirág; golyóbisvirág
,Globulariaceae,gubóvirágfélék
25,Rosaceae,rózsafélék
,Sanguisorba officinalis,orvosi vérfű; csaba ire = csabaíre; csába ír = csábaír; csábafű; csaba ürom = csabaüröm; Isten szakálla = isten szakálla; vérszopóka
,^ polygama,csabaíre vérfű; csaba-gomb = csabagomb; csaba-íre = csabaíre; csaba-irme = csabairme; csaba-üröm = csabaürom; dinnyeszagú fű; gombos fű
,^ minor; Porterium sanguisorba,zöld vérfű
,Plantaginaceae,utilapufélék
,Plantago major,nagy utilapu; széleslevelű utifű
,^ media,közepes utilapu
,^ lanceolata,lándzsás ~; kígyónyelvfű
,^ maritima,hagymalevelű ~; szíki utifű; tengeri utifű; tengerparti-utifű = tengerparti utifű
26,^ arenaria,homoki ~; bolhamag; csillagfű; eczetesfű = ecetesfű; hollóláb; varjúláb; kígyóharaptafű
,Rubiaceae,galajfélék
,Sherardia arvensis,földi csillagfű; kövi ragadványfű; küllő; ugari magabár
,Galium cruciata,keresztes galaj; buzder; keresztes kásafű; keresztfű; keresztgyökér; mezei jázmin; ragadványfű; sérves fű; valaj
,^ verum,tejoltó galaj; Szent-Antal virága; Szent-István virága; Szent-János virága; kásafű; tejzsugorító fű; tejoltó; Szent-István seprűje
27,^ mollugo,közönséges galaj; fehér galaj; puha galaj
,^ palustre,mocsári ~
,^ aparine,ragadós ~; kullancsfű; ragadáncs; valódi ragadványfű; szerelemfű
,^ tricorne,háromszarvú ~
,Rubia tinctorum,festő buzér; festő gökér; vörös festő-gyökér = vörös festőgyökér; pirosító fű
,Asperula odorata,szagos müge; csillagos májfű; szagos májusfű; csillag szívfű; erdei mesterfű; erdőmesterfű; erdődísz; érdeske
28,^ taurina,olasz müge
,^ cynancliica,ebfojtó ~; apró ~; veres fias ~ = veres fias~; torokgyíkfű; vézna buzérfű
,Primulaceae,kankalin-félék = kankalinfélék
,Centunculus minimus,fityfirity czentike = fityfirity centike
,Alchimilla vulgaris,közönséges palástfű; boldogasszony palástja; boldogasszony tenyere; karéjos bokál; oroszlántalpfű; oroszfű; oroszlánláb
,Urticaceae,csalánfélék
,Parietaria officinalis,orvosi falfű; fali fű; patikai falfű; fogolyfű; földi szappan; kőrontófű; Szent-Péter füve; perjefű; üvegfű
,Chenopodiaceae,libatopfélék
,Campliorosma ovata,magyar szíkőr; sós szik-őr; varjúhaj
29,Aquifoliaceae,magyalfélék
,Ilex aquifolium,téli magyalfa; Krisztus tövis
